[     397ms] [ERROR] Failed to load resource: the server responded with a status of 404 (Not Found) @ http://localhost:54068/favicon.ico:0
[26325737ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[26358074ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[26390432ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[26422777ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[26455119ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[26487464ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[26519791ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[26552118ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[26584445ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[26616787ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[26649129ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[26681475ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[26713815ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[26746144ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[26778472ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[26810797ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[26843157ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[26875484ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[26907828ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[26940187ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[26972530ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[27004873ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[27037219ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
[27069561ms] [ERROR] WebSocket connection to 'ws://localhost:54068/?key=52b875be14bba9737ff9bbfe763041c5d1fd91b292ad3c7539dbe34d7f8386f4' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:54068/:145
